,Amber Malt Extract,American (or North American) Pilsner,American (or North American) Vienna,Belgian Pale,Belgian Pilsner,Dark Malt Extract,English Pale Ale,Extra Light/Pils Malt Extract,Floor Malted Pilsner,German Pale Ale,German Pilsner,German Vienna,Golden Malt Extract,Golden Promise,Light Malt Extract,Maris Otter,Munich Malt Extract,"Munich, Dark","Munich, Light",Pale Malt (2 Row),Pale Malt (6 Row),Pale Malt Extract,Red X,Wheat Malt Extract,White Wheat,Aromatic,"Barley, Flaked","Barley, Raw","Barley, Roasted","Barley, Torrefied",Biscuit Malt,Black Malt,Blackprinze Malt,Brown Malt,Buckwheat,Carafa I,Carafa II,Carafa III,Carafoam,Caramel/Crystal Malt - 10L,Caramel/Crystal Malt - 20L,Caramel/Crystal Malt - 30L,Caramel/Crystal Malt - 40L,Caramel/Crystal Malt - 60L,Caramel/Crystal Malt - 80L,Caramel/Crystal Malt -120L,Caramunich I,Caramunich II,Carapils/Dextrine/Carafoam,Carared,Caravienne,Carahell,Chit Malt,Chocolate Malt,Coffee Malt,Cookie Malt (Viking Malt),"Corn, Flaked","Corn, Grits","Extract, Extra Dark","Extract, Rye","Extract, Sorghum",Honey Malt,Melanoiden Malt,Millet,"Oats, Flaked","Oats, Golden Naked","Oats, Malted",Pale Chocolate Malt,Peat Smoked Malt,Quinoa,"Rice, Flaked",Rye Malt,"Rye, Flaked",Smoked Malt,Special B,Special Roast,Spelt Malt,Toasted Malt,Victory,"Wheat, Flaked","Wheat, Red","Wheat, Roasted","Wheat, Torrified"
German Pilsner,0.000,0.990,0.446,0.524,0.990,0.000,0.469,0.482,0.935,0.726,1.000,0.456,0.190,0.525,0.372,0.421,0.000,0.231,0.228,0.772,0.808,0.372,0.244,0.000,0.358,0.243,0.032,0.262,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.303,0.303,0.000,0.048,0.164,0.000,0.000,0.284,0.000,0.000,0.000,0.000,0.395,0.024,0.248,0.410,0.000,0.277,0.000,0.000,0.387,0.000,0.000,0.000,0.358,0.000,0.000
German Vienna,0.333,0.446,0.991,0.786,0.445,0.047,0.822,0.060,0.589,0.756,0.456,1.000,0.318,0.767,0.194,0.809,0.553,0.941,0.944,0.554,0.409,0.194,0.863,0.000,0.301,0.814,0.000,0.000,0.000,0.000,0.470,0.000,0.000,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.088,0.000,0.000,0.000,0.088,0.459,0.000,0.000,0.000,0.000,0.000,0.263,0.518,0.000,0.000,0.000,0.000,0.000,0.279,0.000,0.000,0.441,0.000,0.446,0.000,0.351,0.390,0.468,0.467,0.000,0.301,0.000,0.000
Golden Malt Extract,0.733,0.190,0.318,0.402,0.187,0.505,0.419,0.647,0.280,0.367,0.190,0.318,1.000,0.480,0.908,0.374,0.680,0.315,0.295,0.310,0.049,0.908,0.271,0.417,0.048,0.430,0.000,0.000,0.013,0.000,0.529,0.000,0.042,0.259,0.000,0.035,0.039,0.036,0.004,0.398,0.351,0.358,0.290,0.285,0.186,0.184,0.264,0.258,0.020,0.321,0.379,0.298,0.000,0.021,0.102,0.604,0.047,0.047,0.338,0.627,0.545,0.486,0.562,0.075,0.000,0.074,0.055,0.072,0.000,0.000,0.000,0.000,0.000,0.092,0.160,0.311,0.000,0.487,0.476,0.000,0.048,0.000,0.000
Golden Promise,0.395,0.525,0.767,0.965,0.524,0.099,0.949,0.167,0.657,0.886,0.525,0.767,0.480,1.000,0.422,0.928,0.503,0.732,0.736,0.829,0.564,0.422,0.642,0.069,0.425,0.755,0.000,0.000,0.000,0.000,0.354,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.045,0.004,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.090,0.047,0.000,0.000,0.000,0.401,0.000,0.000,0.000,0.096,0.032,0.258,0.452,0.000,0.000,0.000,0.000,0.000,0.309,0.000,0.000,0.318,0.000,0.504,0.000,0.125,0.468,0.357,0.356,0.000,0.425,0.000,0.000
Light Malt Extract,0.571,0.372,0.194,0.344,0.370,0.422,0.295,0.857,0.442,0.387,0.372,0.194,0.908,0.422,1.000,0.255,0.478,0.139,0.121,0.417,0.241,1.000,0.085,0.436,0.077,0.253,0.016,0.196,0.000,0.000,0.237,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.325,0.276,0.280,0.215,0.209,0.111,0.108,0.192,0.185,0.072,0.248,0.233,0.231,0.016,0.000,0.000,0.323,0.308,0.308,0.258,0.654,0.654,0.340,0.362,0.314,0.000,0.000,0.103,0.000,0.000,0.000,0.135,0.000,0.000,0.048,0.085,0.022,0.004,0.209,0.199,0.000,0.077,0.000,0.000
Maris Otter,0.362,0.421,0.809,0.948,0.420,0.000,0.977,0.072,0.551,0.821,0.421,0.809,0.374,0.928,0.255,1.000,0.507,0.762,0.766,0.709,0.513,0.255,0.684,0.000,0.332,0.741,0.000,0.000,0.000,0.000,0.478,0.000,0.000,0.256,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.465,0.000,0.000,0.000,0.000,0.000,0.138,0.417,0.000,0.000,0.000,0.000,0.000,0.273,0.000,0.000,0.283,0.000,0.407,0.000,0.313,0.479,0.519,0.518,0.000,0.332,0.000,0.000
Munich Malt Extract,0.754,0.000,0.553,0.469,0.000,0.432,0.510,0.157,0.125,0.306,0.000,0.553,0.680,0.503,0.478,0.507,1.000,0.695,0.686,0.049,0.000,0.478,0.536,0.197,0.000,0.741,0.000,0.000,0.000,0.000,0.693,0.000,0.000,0.435,0.000,0.000,0.000,0.000,0.000,0.148,0.123,0.134,0.085,0.085,0.023,0.024,0.200,0.194,0.000,0.257,0.343,0.238,0.000,0.000,0.227,0.717,0.000,0.000,0.260,0.310,0.098,0.592,0.860,0.000,0.000,0.076,0.000,0.047,0.000,0.000,0.000,0.000,0.000,0.151,0.166,0.507,0.000,0.685,0.677,0.000,0.000,0.000,0.000
"Munich, Dark",0.431,0.223,0.934,0.761,0.220,0.151,0.781,0.000,0.442,0.642,0.231,0.941,0.315,0.732,0.139,0.762,0.695,1.000,0.998,0.417,0.191,0.139,0.879,0.000,0.250,0.891,0.000,0.000,0.000,0.000,0.550,0.000,0.000,0.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.019,0.000,0.056,0.131,0.031,0.000,0.000,0.159,0.523,0.000,0.000,0.012,0.000,0.000,0.363,0.677,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000,0.340,0.000,0.468,0.035,0.424,0.334,0.538,0.537,0.000,0.250,0.000,0.000
"Munich, Light",0.407,0.220,0.937,0.762,0.218,0.113,0.784,0.000,0.443,0.643,0.228,0.944,0.295,0.736,0.121,0.766,0.686,0.998,1.000,0.416,0.187,0.121,0.869,0.000,0.246,0.881,0.000,0.000,0.000,0.000,0.521,0.000,0.000,0.317,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.097,0.002,0.000,0.000,0.109,0.499,0.000,0.000,0.000,0.000,0.000,0.334,0.656,0.000,0.000,0.000,0.000,0.000,0.181,0.000,0.000,0.329,0.000,0.466,0.000,0.383,0.329,0.510,0.509,0.000,0.246,0.000,0.000
Pale Malt (2 Row),0.062,0.782,0.564,0.840,0.771,0.000,0.770,0.364,0.797,0.923,0.772,0.554,0.310,0.829,0.417,0.709,0.049,0.417,0.416,1.000,0.897,0.417,0.385,0.018,0.472,0.427,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.076,0.076,0.000,0.081,0.043,0.000,0.066,0.072,0.000,0.000,0.000,0.000,0.439,0.000,0.009,0.455,0.000,0.430,0.000,0.000,0.499,0.000,0.000,0.000,0.472,0.000,0.000
Pale Malt (6 Row),0.000,0.819,0.419,0.625,0.808,0.000,0.565,0.425,0.768,0.826,0.808,0.409,0.049,0.564,0.241,0.513,0.000,0.191,0.187,0.897,1.000,0.241,0.202,0.000,0.328,0.169,0.046,0.281,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.000,0.000,0.000,0.235,0.235,0.000,0.000,0.000,0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.417,0.039,0.266,0.433,0.000,0.227,0.000,0.000,0.409,0.000,0.000,0.000,0.328,0.000,0.000
Pale Malt Extract,0.571,0.372,0.194,0.344,0.370,0.422,0.295,0.857,0.442,0.387,0.372,0.194,0.908,0.422,1.000,0.255,0.478,0.139,0.121,0.417,0.241,1.000,0.085,0.436,0.077,0.253,0.016,0.196,0.000,0.000,0.237,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.325,0.276,0.280,0.215,0.209,0.111,0.108,0.192,0.185,0.072,0.248,0.233,0.231,0.016,0.000,0.000,0.323,0.308,0.308,0.258,0.654,0.654,0.340,0.362,0.314,0.000,0.000,0.103,0.000,0.000,0.000,0.135,0.000,0.000,0.048,0.085,0.022,0.004,0.209,0.199,0.000,0.077,0.000,0.000
Red X,0.583,0.235,0.855,0.667,0.232,0.337,0.697,0.000,0.372,0.579,0.244,0.863,0.271,0.642,0.085,0.684,0.536,0.879,0.869,0.385,0.202,0.085,1.000,0.000,0.221,0.785,0.000,0.000,0.000,0.000,0.514,0.000,0.000,0.373,0.000,0.000,0.000,0.000,0.000,0.100,0.192,0.204,0.240,0.236,0.219,0.134,0.321,0.312,0.000,0.287,0.363,0.264,0.000,0.015,0.214,0.582,0.000,0.000,0.226,0.000,0.000,0.507,0.537,0.000,0.000,0.199,0.000,0.089,0.202,0.000,0.000,0.362,0.000,0.407,0.237,0.437,0.302,0.508,0.508,0.000,0.221,0.000,0.000
Wheat Malt Extract,0.243,0.000,0.000,0.050,0.000,0.124,0.015,0.278,0.012,0.006,0.000,0.000,0.417,0.069,0.436,0.000,0.197,0.000,0.000,0.018,0.000,0.436,0.000,1.000,0.572,0.016,0.433,0.266,0.000,0.405,0.017,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.495,0.144,0.113,0.120,0.070,0.068,0.034,0.032,0.048,0.045,0.509,0.089,0.076,0.067,0.433,0.000,0.000,0.042,0.000,0.000,0.000,0.666,0.156,0.000,0.099,0.000,0.497,0.178,0.645,0.000,0.000,0.000,0.000,0.259,0.455,0.000,0.012,0.000,0.313,0.000,0.000,0.585,0.572,0.066,0.547
White Wheat,0.000,0.367,0.310,0.426,0.357,0.000,0.375,0.000,0.399,0.423,0.358,0.301,0.048,0.425,0.077,0.332,0.000,0.250,0.246,0.472,0.328,0.077,0.221,0.572,1.000,0.268,0.246,0.105,0.000,0.223,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.304,0.000,0.000,0.000,0.246,0.000,0.000,0.000,0.000,0.000,0.000,0.208,0.000,0.000,0.000,0.000,0.299,0.017,0.421,0.000,0.187,0.000,0.000,0.674,0.258,0.244,0.000,0.000,0.820,0.000,0.000,0.368,1.000,0.000,0.337
Aromatic,0.530,0.243,0.814,0.756,0.247,0.280,0.763,0.000,0.440,0.631,0.243,0.814,0.430,0.755,0.253,0.741,0.741,0.891,0.881,0.427,0.169,0.253,0.785,0.016,0.268,1.000,0.000,0.000,0.000,0.000,0.706,0.000,0.000,0.484,0.000,0.000,0.005,0.003,0.000,0.116,0.104,0.121,0.077,0.083,0.036,0.041,0.179,0.176,0.000,0.225,0.304,0.195,0.000,0.022,0.305,0.699,0.000,0.000,0.150,0.103,0.000,0.597,0.817,0.000,0.000,0.052,0.000,0.084,0.170,0.000,0.000,0.209,0.000,0.468,0.173,0.557,0.307,0.678,0.677,0.000,0.268,0.000,0.000
"Barley, Flaked",0.000,0.032,0.000,0.000,0.030,0.000,0.000,0.214,0.000,0.000,0.032,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.046,0.016,0.000,0.433,0.246,0.000,1.000,0.704,0.000,0.956,0.000,0.000,0.000,0.000,0.193,0.000,0.000,0.000,0.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.689,0.000,0.000,0.000,0.795,0.000,0.000,0.000,0.304,0.077,0.000,0.166,0.000,0.000,0.000,0.072,0.767,0.000,0.726,0.000,0.000,0.000,0.338,0.182,0.812,0.000,0.000,0.000,0.109,0.000,0.000,0.812,0.246,0.000,0.767
"Barley, Raw",0.000,0.262,0.000,0.000,0.261,0.000,0.000,0.498,0.200,0.040,0.262,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.060,0.281,0.196,0.000,0.266,0.105,0.000,0.704,1.000,0.000,0.668,0.000,0.000,0.000,0.000,0.292,0.000,0.000,0.000,0.482,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.497,0.000,0.000,0.000,0.704,0.000,0.000,0.000,0.380,0.608,0.000,0.166,0.043,0.000,0.000,0.359,0.355,0.000,0.331,0.000,0.000,0.146,0.417,0.098,0.391,0.000,0.000,0.000,0.031,0.000,0.000,0.391,0.105,0.000,0.359
"Barley, Roasted",0.090,0.000,0.000,0.000,0.000,0.489,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.180,0.989,0.980,0.536,0.000,0.922,0.922,0.973,0.000,0.123,0.184,0.240,0.210,0.246,0.299,0.435,0.176,0.196,0.000,0.162,0.148,0.052,0.000,0.959,0.725,0.106,0.000,0.000,0.520,0.103,0.000,0.149,0.072,0.000,0.000,0.000,0.000,0.883,0.000,0.000,0.000,0.000,0.000,0.000,0.419,0.324,0.000,0.160,0.158,0.000,0.000,0.914,0.000
"Barley, Torrefied",0.000,0.014,0.000,0.000,0.013,0.000,0.000,0.191,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.405,0.223,0.000,0.956,0.668,0.000,1.000,0.000,0.000,0.000,0.000,0.268,0.000,0.000,0.000,0.639,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.654,0.000,0.000,0.000,0.757,0.000,0.000,0.000,0.280,0.058,0.000,0.145,0.000,0.000,0.000,0.054,0.729,0.049,0.689,0.000,0.000,0.000,0.312,0.160,0.773,0.000,0.000,0.000,0.089,0.000,0.000,0.773,0.223,0.000,0.823
Biscuit Malt,0.580,0.000,0.470,0.379,0.000,0.291,0.475,0.000,0.000,0.226,0.000,0.470,0.529,0.354,0.237,0.478,0.693,0.550,0.521,0.000,0.000,0.237,0.514,0.017,0.000,0.706,0.000,0.000,0.180,0.000,1.000,0.161,0.220,0.830,0.023,0.221,0.227,0.225,0.000,0.149,0.163,0.195,0.154,0.170,0.160,0.174,0.183,0.190,0.000,0.206,0.368,0.144,0.000,0.247,0.605,0.940,0.000,0.000,0.202,0.158,0.000,0.601,0.820,0.000,0.000,0.206,0.000,0.372,0.000,0.000,0.000,0.000,0.000,0.020,0.259,0.926,0.000,0.968,0.968,0.000,0.000,0.147,0.000
Black Malt,0.072,0.000,0.000,0.000,0.000,0.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.989,0.000,0.161,1.000,0.943,0.493,0.000,0.859,0.860,0.937,0.000,0.104,0.165,0.220,0.191,0.227,0.279,0.404,0.158,0.178,0.000,0.144,0.130,0.035,0.000,0.922,0.671,0.089,0.000,0.000,0.477,0.090,0.000,0.131,0.057,0.000,0.000,0.000,0.000,0.820,0.000,0.000,0.000,0.000,0.000,0.000,0.389,0.304,0.000,0.141,0.140,0.000,0.000,0.882,0.000
Blackprinze Malt,0.124,0.000,0.000,0.000,0.000,0.528,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,0.000,0.220,0.943,1.000,0.580,0.000,0.977,0.977,0.994,0.000,0.159,0.223,0.283,0.252,0.290,0.346,0.483,0.216,0.238,0.000,0.201,0.186,0.084,0.000,0.976,0.773,0.142,0.000,0.000,0.563,0.142,0.000,0.187,0.107,0.000,0.000,0.000,0.000,0.935,0.000,0.000,0.000,0.000,0.000,0.000,0.466,0.373,0.000,0.198,0.197,0.000,0.000,0.934,0.000
Brown Malt,0.370,0.000,0.285,0.139,0.000,0.400,0.248,0.000,0.000,0.045,0.000,0.285,0.259,0.083,0.000,0.256,0.435,0.357,0.317,0.000,0.000,0.000,0.373,0.000,0.000,0.484,0.000,0.000,0.536,0.000,0.830,0.493,0.580,1.000,0.029,0.591,0.592,0.581,0.000,0.018,0.067,0.113,0.087,0.116,0.161,0.265,0.109,0.124,0.000,0.106,0.246,0.019,0.000,0.611,0.922,0.728,0.000,0.000,0.372,0.056,0.000,0.429,0.591,0.000,0.000,0.139,0.000,0.733,0.000,0.000,0.000,0.000,0.000,0.000,0.335,0.898,0.000,0.813,0.815,0.000,0.000,0.510,0.000
Buckwheat,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.193,0.292,0.000,0.268,0.023,0.000,0.000,0.029,1.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.044,0.000,0.000,0.000,0.193,0.000,0.000,0.000,0.147,0.147,0.000,0.023,0.000,0.000,0.000,0.591,0.032,0.157,0.025,0.000,0.000,0.722,0.175,0.000,0.066,0.000,0.000,0.070,0.018,0.151,0.140,0.066,0.000,0.000,0.148
Carafa I,0.118,0.000,0.000,0.000,0.000,0.533,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.922,0.000,0.221,0.859,0.977,0.591,0.000,1.000,1.000,0.983,0.000,0.152,0.217,0.276,0.246,0.284,0.340,0.482,0.223,0.244,0.000,0.209,0.187,0.094,0.000,0.958,0.782,0.136,0.000,0.000,0.567,0.129,0.000,0.181,0.114,0.000,0.000,0.000,0.000,0.953,0.000,0.000,0.000,0.000,0.000,0.000,0.470,0.373,0.000,0.192,0.198,0.000,0.000,0.908,0.000
